id,title,description,description_plain
750059,ปริซึมแห่งชะตา,"ของแทนตัวที่ ""Hsin จิ้งจอกจันทรา"" สร้างขึ้นจากคลื่นความถี่ของตนเอง ซึ่งผนึกพลังบางส่วนของเซนติเนลเอาไว้","ของแทนตัวที่ ""Hsin จิ้งจอกจันทรา"" สร้างขึ้นจากคลื่นความถี่ของตนเอง ซึ่งผนึกพลังบางส่วนของเซนติเนลเอาไว้"
800001,บทเพลงทองคำ,สมาคมกวีที่เคยมีชื่อเสียงในรากูนน่า ประกอบไปด้วยสมาชิกสามคน ได้แก่ Faroll Selena และ Rimbaud พวกเขาประพันธ์เพลงสรรเสริญและบทกวีนับไม่ถ้วนเพื่อเชิดชูเซนติเนลและภาคี แต่กวีของบทเพลงทองคำกลับถูกภาคีกล่าวหาว่าลบหลู่เทพและถูกส่งขึ้นเรือผู้แสวงบุญ จากนั้นพวกเขาก็หายตัวไปอย่างไร้ร่องรอย และการกล่าวชื่อพวกเขาก็กลายเป็นเรื่องต้องห้ามในรากูนน่า,สมาคมกวีที่เคยมีชื่อเสียงในรากูนน่า ประกอบไปด้วยสมาชิกสามคน ได้แก่ Faroll Selena และ Rimbaud พวกเขาประพันธ์เพลงสรรเสริญและบทกวีนับไม่ถ้วนเพื่อเชิดชูเซนติเนลและภาคี แต่กวีของบทเพลงทองคำกลับถูกภาคีกล่าวหาว่าลบหลู่เทพและถูกส่งขึ้นเรือผู้แสวงบุญ จากนั้นพวกเขาก็หายตัวไปอย่างไร้ร่องรอย และการกล่าวชื่อพวกเขาก็กลายเป็นเรื่องต้องห้ามในรากูนน่า
800002,เค้กฉลองครบรอบ,"เค้กขนาดยักษ์ที่ทำขึ้นเพื่อเฉลิมฉลองครบรอบหนึ่งปีของการทดสอบเบต้าโซลาริสที่สอง ซึ่งยังเป็นศูนย์กลางการควบคุมของโลกเสมือนโซลาริสที่สอง ส่วนเหตุผลที่ศูนย์กลางการควบคุมต้องทำเป็นรูปเค้กนั้น ผู้ออกแบบหลัก Encore ได้ตอบไว้ว่าคำพูดนี้: ""วันเกิดต้องมีเค้กสิ! สุขสันต์วันครบรอบหนึ่งปี!""","เค้กขนาดยักษ์ที่ทำขึ้นเพื่อเฉลิมฉลองครบรอบหนึ่งปีของการทดสอบเบต้าโซลาริสที่สอง ซึ่งยังเป็นศูนย์กลางการควบคุมของโลกเสมือนโซลาริสที่สอง ส่วนเหตุผลที่ศูนย์กลางการควบคุมต้องทำเป็นรูปเค้กนั้น ผู้ออกแบบหลัก Encore ได้ตอบไว้ว่าคำพูดนี้: ""วันเกิดต้องมีเค้กสิ! สุขสันต์วันครบรอบหนึ่งปี!"""
800003,โซลาริสที่สอง,เกมจำลองเสมือนจริงที่พัฒนาโดยสมาคมผู้บุกเบิก แม้จะมีอุปสรรคมากมายในระหว่างการพัฒนา แต่ความเชื่อมั่นและการสนับสนุนของผู้พเนจรก็ช่วยให้มันพัฒนาอย่างต่อเนื่องไปสู่รูปแบบที่สมบูรณ์,เกมจำลองเสมือนจริงที่พัฒนาโดยสมาคมผู้บุกเบิก แม้จะมีอุปสรรคมากมายในระหว่างการพัฒนา แต่ความเชื่อมั่นและการสนับสนุนของผู้พเนจรก็ช่วยให้มันพัฒนาอย่างต่อเนื่องไปสู่รูปแบบที่สมบูรณ์
800004,ลูกบาศก์จิ๋ว,"ชื่อทางการคือ ""ลูกบาศก์จิ๋วเศษเสี้ยวความถี่"" เป็น NPC ปัญญาประดิษฐ์ที่สร้างขึ้นโดยโซลาริสที่สอง หลังจากที่ได้รับการเสริมพลังจากความสามารถของ Encore และการสนับสนุนการประมวลผลเล็กน้อยจากเธทิส โปรดทราบว่า: ลูกบาศก์จิ๋วเศษเสี้ยวความถี่เป็นเพียงเทคโนโลยีจำลองเชิงทดลอง ลูกบาศก์จิ๋วทุกตัวถูกสร้างขึ้นโดยโปรแกรมอัตโนมัติ และบุคลิกภาพและพฤติกรรมที่แสดงในเกมไม่สามารถใช้เป็นพื้นฐานในการสันนิษฐานเกี่ยวกับคุณธรรมส่วนบุคคลหรือความสัมพันธ์ทางสังคมได้","ชื่อทางการคือ ""ลูกบาศก์จิ๋วเศษเสี้ยวความถี่"" เป็น NPC ปัญญาประดิษฐ์ที่สร้างขึ้นโดยโซลาริสที่สอง หลังจากที่ได้รับการเสริมพลังจากความสามารถของ Encore และการสนับสนุนการประมวลผลเล็กน้อยจากเธทิส โปรดทราบว่า: ลูกบาศก์จิ๋วเศษเสี้ยวความถี่เป็นเพียงเทคโนโลยีจำลองเชิงทดลอง ลูกบาศก์จิ๋วทุกตัวถูกสร้างขึ้นโดยโปรแกรมอัตโนมัติ และบุคลิกภาพและพฤติกรรมที่แสดงในเกมไม่สามารถใช้เป็นพื้นฐานในการสันนิษฐานเกี่ยวกับคุณธรรมส่วนบุคคลหรือความสัมพันธ์ทางสังคมได้"
800005,กรมควบคุมวินัย,"หน่วยงานฝ่ายปฏิบัติของภาคีเร้นสมุทร ซึ่งแตกต่างจากหอสำนึกผิดที่รับผิดชอบในการจัดการกับผู้ที่ลบหลู่ Imperator เพื่อรักษาความเชื่อของรากูนน่า กรมควบคุมวินัยจะดูแลคดีในทางโลก ในขณะเดียวกัน กรมควบคุมวินัยยังมีหน้าที่ขับไล่ทาเซ็ตดิสคอร์ดและปกป้องพื้นที่รากูนน่า หน่วยงานบังคับใช้กฎหมายที่สังกัดกรมควบคุมวินัยจะเรียกว่า ""ผู้ควบคุมวินัย""","หน่วยงานฝ่ายปฏิบัติของภาคีเร้นสมุทร ซึ่งแตกต่างจากหอสำนึกผิดที่รับผิดชอบในการจัดการกับผู้ที่ลบหลู่ Imperator เพื่อรักษาความเชื่อของรากูนน่า กรมควบคุมวินัยจะดูแลคดีในทางโลก ในขณะเดียวกัน กรมควบคุมวินัยยังมีหน้าที่ขับไล่ทาเซ็ตดิสคอร์ดและปกป้องพื้นที่รากูนน่า หน่วยงานบังคับใช้กฎหมายที่สังกัดกรมควบคุมวินัยจะเรียกว่า ""ผู้ควบคุมวินัย"""
800006,มิติโซโนโร,"ในวัฒนธรรมของหวงหลง ผู้คนเรียกแดนมายาทั้งหลายที่ดูจริงและไม่จริงว่า ""มิติโซโนโร""","ในวัฒนธรรมของหวงหลง ผู้คนเรียกแดนมายาทั้งหลายที่ดูจริงและไม่จริงว่า ""มิติโซโนโร"""
800007,ช่องสัญญาณ,ช่องสัญญาณหมายถึงช่องทางการส่งสัญญาณ โซลาริสที่สองเคยเชื่อมต่อกับระบบเธทิสในระหว่างการจำลองชั่วคราว ดังนั้นระหว่างทั้งสองจึงเคยมีช่องสัญญาณอยู่,ช่องสัญญาณหมายถึงช่องทางการส่งสัญญาณ โซลาริสที่สองเคยเชื่อมต่อกับระบบเธทิสในระหว่างการจำลองชั่วคราว ดังนั้นระหว่างทั้งสองจึงเคยมีช่องสัญญาณอยู่
800008,สุนัขล่าวิญญาณ,"สุนัขล่าวิญญาณได้แก่ ""สุนัขล่าวิญญาณ"" เป็นกลุ่มทหารรับจ้างที่นำโดย Calcharo ในสหพันธรัฐใหม่","สุนัขล่าวิญญาณได้แก่ ""สุนัขล่าวิญญาณ"" เป็นกลุ่มทหารรับจ้างที่นำโดย Calcharo ในสหพันธรัฐใหม่"
800009,"""ตำนานกิ่งสุวรรณ""","""ตำนานกิ่งสุวรรณ"" คือบทกวีเล่าเรื่องยาวอันเก่าแก่ของรินาซิตา ซึ่งเป็นงานศิลปะที่เชื่อมโยงตำนานพื้นบ้านของแต่ละชนเผ่าเข้ากับการเผยแผ่ของเซนติเนล และได้บันทึกต้นกำเนิดของงานคาร์นิวัลไว้อย่างละเอียด","""ตำนานกิ่งสุวรรณ"" คือบทกวีเล่าเรื่องยาวอันเก่าแก่ของรินาซิตา ซึ่งเป็นงานศิลปะที่เชื่อมโยงตำนานพื้นบ้านของแต่ละชนเผ่าเข้ากับการเผยแผ่ของเซนติเนล และได้บันทึกต้นกำเนิดของงานคาร์นิวัลไว้อย่างละเอียด"
800010,สรวงสวรรค์อาลัย,ชายฝั่งที่นักกวีและนักดนตรีชาวรินาซิตานำเครื่องดนตรีปลดประจำการมาฝังไว้,ชายฝั่งที่นักกวีและนักดนตรีชาวรินาซิตานำเครื่องดนตรีปลดประจำการมาฝังไว้
800011,ดาวอาชาสวรรค์,"กลุ่มดาวที่สว่างไสวที่สุดในค่ำคืนฤดูใบไม้ร่วง และปกคลุมไปด้วยตำนานมากมาย หนึ่งในกวีของบทเพลงทองคำเคยเขียนไว้ว่า ""ฉันคือเหยี่ยวราตรีปีกเพลิงลุกโชน โผทะยานสู่ดาวอาชาสวรรค์ ผู้ที่ฉันขับร้องสรรเสริญ และผู้ที่ฉันได้เห็นรูปลักษณ์ที่แท้จริง"" เป็นภาพที่ทำให้นึกถึงเซนติเนลของรินาซิตา แต่ทำไมต้องโผทะยานเข้าไปหาและมองร่างที่แท้จริงของมันล่ะ? อาจเป็นไปได้ว่าบทกวีนี้พยายามจะสื่อสารอะไรบางอย่าง","กลุ่มดาวที่สว่างไสวที่สุดในค่ำคืนฤดูใบไม้ร่วง และปกคลุมไปด้วยตำนานมากมาย หนึ่งในกวีของบทเพลงทองคำเคยเขียนไว้ว่า ""ฉันคือเหยี่ยวราตรีปีกเพลิงลุกโชน โผทะยานสู่ดาวอาชาสวรรค์ ผู้ที่ฉันขับร้องสรรเสริญ และผู้ที่ฉันได้เห็นรูปลักษณ์ที่แท้จริง"" เป็นภาพที่ทำให้นึกถึงเซนติเนลของรินาซิตา แต่ทำไมต้องโผทะยานเข้าไปหาและมองร่างที่แท้จริงของมันล่ะ? อาจเป็นไปได้ว่าบทกวีนี้พยายามจะสื่อสารอะไรบางอย่าง"
800012,ท่วงทำนอง,โลกแห่งดนตรีเชื่อมโยงกับความถี่อย่างลึกซึ้ง ทุกสิ่งเกิดขึ้นจากความถี่ และด้วยเหตุนี้ทุกสิ่งจึงมีท่วงทำนองที่เป็นของตัวเอง พลังเรโซแนนซ์ของ Ciaccona สามารถรับรู้ท่วงทำนองเหล่านี้ได้ โดยการปรับแต่งใหม่ ท่วงทำนองเหล่านี้ในมือของเธอจะกลายเป็นมิติโซโนโร———พื้นที่ที่สามารถสืบทอดเรื่องราวและความทรงจำที่อยู่ในท่วงทำนองได้ ผู้ที่รับรู้ท่วงทำนองได้มากเท่าไร ข้อมูลที่สามารถสืบทอดก็จะยิ่งมากขึ้นเท่านั้น,โลกแห่งดนตรีเชื่อมโยงกับความถี่อย่างลึกซึ้ง ทุกสิ่งเกิดขึ้นจากความถี่ และด้วยเหตุนี้ทุกสิ่งจึงมีท่วงทำนองที่เป็นของตัวเอง พลังเรโซแนนซ์ของ Ciaccona สามารถรับรู้ท่วงทำนองเหล่านี้ได้ โดยการปรับแต่งใหม่ ท่วงทำนองเหล่านี้ในมือของเธอจะกลายเป็นมิติโซโนโร———พื้นที่ที่สามารถสืบทอดเรื่องราวและความทรงจำที่อยู่ในท่วงทำนองได้ ผู้ที่รับรู้ท่วงทำนองได้มากเท่าไร ข้อมูลที่สามารถสืบทอดก็จะยิ่งมากขึ้นเท่านั้น
850068,เรโซเนเตอร์โดยกำเนิด,เรโซเนเตอร์ที่มีพลังเรโซแนนซ์อยู่ในตัวมาตั้งแต่เกิด,เรโซเนเตอร์ที่มีพลังเรโซแนนซ์อยู่ในตัวมาตั้งแต่เกิด
850069,เรโซเนเตอร์กลายพันธุ์,เรโซเนเตอร์ถูกกระตุ้นด้วยเหตุการณ์สำคัญจนปลุกพลังเรโซแนนซ์ให้ตื่นขึ้น,เรโซเนเตอร์ถูกกระตุ้นด้วยเหตุการณ์สำคัญจนปลุกพลังเรโซแนนซ์ให้ตื่นขึ้น
850070,เรโซเนเตอร์โดยธรรมชาติ,เรโซเนเตอร์ที่มีพลังเรโซแนนซ์ จากการสั่งสมประสบการณ์ ความสามารถ,เรโซเนเตอร์ที่มีพลังเรโซแนนซ์ จากการสั่งสมประสบการณ์ ความสามารถ
850071,เรโซเนเตอร์พลังแฝง,เรโซเนเตอร์ที่พลังเรโซแนนซ์ซึ่งแฝงอยู่ในตัวตื่นขึ้นก่อนเวลาอันควรผ่านการกระตุ้นที่สร้างขึ้นและควบคุมโดยมนุษย์,เรโซเนเตอร์ที่พลังเรโซแนนซ์ซึ่งแฝงอยู่ในตัวตื่นขึ้นก่อนเวลาอันควรผ่านการกระตุ้นที่สร้างขึ้นและควบคุมโดยมนุษย์
850072,สัญลักษณ์ทาเซ็ต,"เครื่องหมายที่พบได้ทั้งบนผิวของเรโซเนเตอร์และพื้นสนามทาเซ็ต
สำหรับเรโซเนเตอร์ เครื่องหมายเหล่านี้ทำหน้าที่เป็นสื่อกลางสำหรับพลังเรโซแนนซ์ของแต่ละคน เป็นสัญลักษณ์ของการเกิดใหม่หลังจากตื่นขึ้น
ในสนามทาเซ็ต เครื่องหมายนี้จะกลายเป็นจุดศูนย์รวมพลังแห่งความโกลาหล ก่อให้เกิดเรโซแนนซ์คอร์ดสีขาวที่ให้กำเนิดทาเซ็ตดิสคอร์ดตัวแล้วตัวเล่าบนโลกนี้","เครื่องหมายที่พบได้ทั้งบนผิวของเรโซเนเตอร์และพื้นสนามทาเซ็ต
สำหรับเรโซเนเตอร์ เครื่องหมายเหล่านี้ทำหน้าที่เป็นสื่อกลางสำหรับพลังเรโซแนนซ์ของแต่ละคน เป็นสัญลักษณ์ของการเกิดใหม่หลังจากตื่นขึ้น
ในสนามทาเซ็ต เครื่องหมายนี้จะกลายเป็นจุดศูนย์รวมพลังแห่งความโกลาหล ก่อให้เกิดเรโซแนนซ์คอร์ดสีขาวที่ให้กำเนิดทาเซ็ตดิสคอร์ดตัวแล้วตัวเล่าบนโลกนี้"
850073,โอเวอร์คล็อก,"การใช้พลังมากเกินควรหรือความหมกมุ่นเกินกว่าที่จิตใจและพลังเรโซแนนซ์ของเรโซเนเตอร์จะรับไหว นำไปสู่สภาวะโอเวอร์คล็อก
แม้ว่าโอเวอร์คล็อกจะสามารถควบคุมได้ แต่ก็ยังไม่มีวิธีรักษาให้หายขาด","การใช้พลังมากเกินควรหรือความหมกมุ่นเกินกว่าที่จิตใจและพลังเรโซแนนซ์ของเรโซเนเตอร์จะรับไหว นำไปสู่สภาวะโอเวอร์คล็อก
แม้ว่าโอเวอร์คล็อกจะสามารถควบคุมได้ แต่ก็ยังไม่มีวิธีรักษาให้หายขาด"
850074,เธรโนเดียน,เธรโนเดียนคือสิ่งมีชีวิตอันน่าสะพรึงกลัวที่เกิดจากอาดูรการณ์ มีพลังทำลายจิตใจของมนุษย์และกัดกินปณิธานที่พังทลาย หากอารยธรรมคือปณิธานที่มนุษยชาติมีร่วมกัน เธรโนเดียนก็เปรียบเสมือนความกลัวและความยากลำบากของเรา เธรโนเดียนจะปรากฏขึ้นเมื่อเกิดภัยพิบัติทาเซ็ตดิสคอร์ดทำลายล้างทั่วโลก,เธรโนเดียนคือสิ่งมีชีวิตอันน่าสะพรึงกลัวที่เกิดจากอาดูรการณ์ มีพลังทำลายจิตใจของมนุษย์และกัดกินปณิธานที่พังทลาย หากอารยธรรมคือปณิธานที่มนุษยชาติมีร่วมกัน เธรโนเดียนก็เปรียบเสมือนความกลัวและความยากลำบากของเรา เธรโนเดียนจะปรากฏขึ้นเมื่อเกิดภัยพิบัติทาเซ็ตดิสคอร์ดทำลายล้างทั่วโลก
850075,อาดูรการณ์,"คำว่า ""อาดูรการณ์"" หมายถึงภัยพิบัติที่เกิดขึ้นบนโซลาริส-3
ตั้งแต่อาดูรการณ์เริ่มต้นขึ้น วัฏจักรแห่งการทำลายล้างก็หมุนวนไปไม่หยุดยั้ง
ระลอกคลื่นแห่งการล้างผลาญยังคงโหมกระหน่ำโดยไม่มีวี่แววว่าจะหยุดลง","คำว่า ""อาดูรการณ์"" หมายถึงภัยพิบัติที่เกิดขึ้นบนโซลาริส-3
ตั้งแต่อาดูรการณ์เริ่มต้นขึ้น วัฏจักรแห่งการทำลายล้างก็หมุนวนไปไม่หยุดยั้ง
ระลอกคลื่นแห่งการล้างผลาญยังคงโหมกระหน่ำโดยไม่มีวี่แววว่าจะหยุดลง"
850076,เศษเสี้ยวความถี่,รูปแบบพลังงานบริสุทธิ์ที่มีความถี่สมบูรณ์ ข้อมูลที่อยู่ข้างในอยู่เหนือกาลเวลาและอวกาศ คงอยู่ในสภาวะที่มั่นคงไม่เปลี่ยนแปลง,รูปแบบพลังงานบริสุทธิ์ที่มีความถี่สมบูรณ์ ข้อมูลที่อยู่ข้างในอยู่เหนือกาลเวลาและอวกาศ คงอยู่ในสภาวะที่มั่นคงไม่เปลี่ยนแปลง
850077,มิติโซโนโร,"ช่องว่างข้ามมิติที่อุดมไปด้วยเศษเสี้ยวความถี่จะเรียกว่า ""มิติโซโนโร""","ช่องว่างข้ามมิติที่อุดมไปด้วยเศษเสี้ยวความถี่จะเรียกว่า ""มิติโซโนโร"""
850078,สนามทาเซ็ต,"ว่ากันว่า ""สนามทาเซ็ต"" คือที่ซึ่งทาเซ็ตดิสคอร์ดทั้งหมดถือกำเนิดขึ้น มีทะเลกลับหัวอยู่บนฟ้าและสัญลักษณ์ทาเซ็ตรูปไม้กางเขนประทับลึกอยู่บนผืนดิน ในอากาศเต็มไปด้วยเสียงกังวาน เชื่อมโยงโลกของเรากับมิติที่ไม่มีใครรู้จักผ่านเรโซแนนซ์คอร์ดสีขาว พื้นที่นี้จะดึงดูดทาเซ็ตดิสคอร์ดทั้งหลายมารวมตัวกัน","ว่ากันว่า ""สนามทาเซ็ต"" คือที่ซึ่งทาเซ็ตดิสคอร์ดทั้งหมดถือกำเนิดขึ้น มีทะเลกลับหัวอยู่บนฟ้าและสัญลักษณ์ทาเซ็ตรูปไม้กางเขนประทับลึกอยู่บนผืนดิน ในอากาศเต็มไปด้วยเสียงกังวาน เชื่อมโยงโลกของเรากับมิติที่ไม่มีใครรู้จักผ่านเรโซแนนซ์คอร์ดสีขาว พื้นที่นี้จะดึงดูดทาเซ็ตดิสคอร์ดทั้งหลายมารวมตัวกัน"
850079,โซลาริส,SOL-3 เป็นดาวเคราะห์ดวงที่ 3 จากดวงอาทิตย์ โลกแห่งความโกลาหลและความผันแปร ที่ซึ่งวิถีดั้งเดิมแต่กาลก่อนถูกละทิ้งและมากด้วยภัยพิบัติ อารยธรรมมนุษย์ต้องดิ้นรนเพื่ออยู่รอดในยุคสมัยใหม่แห่งการทำลายล้างและเกิดใหม่นี้ เผชิญกับอุปสรรคที่ไม่มีใครเคยพบเจอด้วยหัวใจที่แน่วแน่ไม่หวั่นไหว,SOL-3 เป็นดาวเคราะห์ดวงที่ 3 จากดวงอาทิตย์ โลกแห่งความโกลาหลและความผันแปร ที่ซึ่งวิถีดั้งเดิมแต่กาลก่อนถูกละทิ้งและมากด้วยภัยพิบัติ อารยธรรมมนุษย์ต้องดิ้นรนเพื่ออยู่รอดในยุคสมัยใหม่แห่งการทำลายล้างและเกิดใหม่นี้ เผชิญกับอุปสรรคที่ไม่มีใครเคยพบเจอด้วยหัวใจที่แน่วแน่ไม่หวั่นไหว
850080,คลื่นกัดกร่อน,"พลังของอาดูรการณ์ก่อให้เกิดคลื่นทำลายล้างทั่วแผ่นดินโซลาริส การสำแดงตัวตนอย่าง ""สนามทาเซ็ต"" ""การแพร่กระจายของทาเซ็ตดิสคอร์ด"" และ ""ทาเซไทต์"" ลึกลับ เป็นส่วนหนึ่งของสิ่งที่เรียกรวมกันว่า ""คลื่นกัดกร่อน""","พลังของอาดูรการณ์ก่อให้เกิดคลื่นทำลายล้างทั่วแผ่นดินโซลาริส การสำแดงตัวตนอย่าง ""สนามทาเซ็ต"" ""การแพร่กระจายของทาเซ็ตดิสคอร์ด"" และ ""ทาเซไทต์"" ลึกลับ เป็นส่วนหนึ่งของสิ่งที่เรียกรวมกันว่า ""คลื่นกัดกร่อน"""
850081,ทาเซ็ตดิสคอร์ด,"ทาเซ็ตดิสคอร์ดถูกสร้างขึ้นโดยคลื่นกัดกร่อน มี ""แกนทาเซ็ต"" อยู่ในตัว เป็นสิ่งมีชีวิตอันตรายที่มีรูปร่างสัณฐานไม่แน่นอน แปรเปลี่ยนไปเรื่อยๆ กัดกินความถี่อื่นๆ เป็นอาหารเพื่อรักษาความเสถียรและวิวัฒนาการ สิ่งมีชีวิตเหล่านี้จะเลียนแบบความสามารถ รูปร่าง และพฤติกรรมของเหยื่อ โดยได้รับอิทธิพลจากประเภทของความถี่ที่กินเข้าไป","ทาเซ็ตดิสคอร์ดถูกสร้างขึ้นโดยคลื่นกัดกร่อน มี ""แกนทาเซ็ต"" อยู่ในตัว เป็นสิ่งมีชีวิตอันตรายที่มีรูปร่างสัณฐานไม่แน่นอน แปรเปลี่ยนไปเรื่อยๆ กัดกินความถี่อื่นๆ เป็นอาหารเพื่อรักษาความเสถียรและวิวัฒนาการ สิ่งมีชีวิตเหล่านี้จะเลียนแบบความสามารถ รูปร่าง และพฤติกรรมของเหยื่อ โดยได้รับอิทธิพลจากประเภทของความถี่ที่กินเข้าไป"
850082,เอคโค่,"ความถี่พิเศษประเภทหนึ่งที่สามารถจับได้ด้วยเทอร์มินัลเพื่อนำความสามารถของทาเซ็ตดิสคอร์ดมาสร้างขึ้นใหม่
เมื่อทาเซ็ตดิสคอร์ดถูกกำจัด อาจทิ้ง ""เสียงกังวาน"" ไว้ให้ซึ่งสามารถเปลี่ยนเป็น ""เอคโค่"" ได้ผ่านทางคลังข้อมูลของเทอร์มินัล เพื่อนำมาใช้ประโยชน์ในการต่อสู้","ความถี่พิเศษประเภทหนึ่งที่สามารถจับได้ด้วยเทอร์มินัลเพื่อนำความสามารถของทาเซ็ตดิสคอร์ดมาสร้างขึ้นใหม่
เมื่อทาเซ็ตดิสคอร์ดถูกกำจัด อาจทิ้ง ""เสียงกังวาน"" ไว้ให้ซึ่งสามารถเปลี่ยนเป็น ""เอคโค่"" ได้ผ่านทางคลังข้อมูลของเทอร์มินัล เพื่อนำมาใช้ประโยชน์ในการต่อสู้"
850083,เซนติเนล,ดินแดนใดมีอารยธรรมและประวัติศาสตร์ ดินแดนนั้นย่อมมีเซนติเนลทำหน้าที่เป็นผู้พิทักษ์และผู้กำกับมนุษยชาติ ดำรงอยู่เป็นอมตะเพื่อช่วยให้มนุษย์ผ่านพ้นปัญหานานัปการด้วยการมอบปัญญาและคำพยากรณ์ เมื่อมนุษยชาติก้าวสู่เส้นทางใหม่หลังจากอดทนกับอาดูรการณ์มาเนิ่นนาน เซนติเนลยังคงทำหน้าที่เป็นผู้จารจารึกและดวงไฟนำทางในยามที่เกิดภัยพิบัติ,ดินแดนใดมีอารยธรรมและประวัติศาสตร์ ดินแดนนั้นย่อมมีเซนติเนลทำหน้าที่เป็นผู้พิทักษ์และผู้กำกับมนุษยชาติ ดำรงอยู่เป็นอมตะเพื่อช่วยให้มนุษย์ผ่านพ้นปัญหานานัปการด้วยการมอบปัญญาและคำพยากรณ์ เมื่อมนุษยชาติก้าวสู่เส้นทางใหม่หลังจากอดทนกับอาดูรการณ์มาเนิ่นนาน เซนติเนลยังคงทำหน้าที่เป็นผู้จารจารึกและดวงไฟนำทางในยามที่เกิดภัยพิบัติ
850084,เจ้าเมือง,เจ้าเมืองคือเจ้าหน้าที่ฝ่ายปกครองผู้ดูแลหนึ่งในดินแดนสำคัญของหวงหลง,เจ้าเมืองคือเจ้าหน้าที่ฝ่ายปกครองผู้ดูแลหนึ่งในดินแดนสำคัญของหวงหลง
850085,กระทรวงการพัฒนา,"กระทรวงการพัฒนาทำหน้าที่เป็นหน่วยงานวิศวกรรมและก่อสร้างของสำนักงานกลางกิจการรัฐ
ประกอบด้วยหน่วยงานหลัก 3 กอง ได้แก่ กองสรรพาวุธและกองป้องกันซึ่งรับผิดชอบงานด้านการทหารทั้งหมด และกองโครงสร้างพื้นฐานซึ่งรับผิดชอบงานสาธารณะและโครงการก่อสร้าง","กระทรวงการพัฒนาทำหน้าที่เป็นหน่วยงานวิศวกรรมและก่อสร้างของสำนักงานกลางกิจการรัฐ
ประกอบด้วยหน่วยงานหลัก 3 กอง ได้แก่ กองสรรพาวุธและกองป้องกันซึ่งรับผิดชอบงานด้านการทหารทั้งหมด และกองโครงสร้างพื้นฐานซึ่งรับผิดชอบงานสาธารณะและโครงการก่อสร้าง"
850086,มิดไนท์เรนเจอร์,มิดไนท์เรนเจอร์คือกองทหารภายใต้กระทรวงการสงครามของจินโจว มีนายพล Jiyan เป็นผู้บัญชาการ แบ่งออกเป็น 3 กอง ได้แก่ เอาท์ไรเดอร์ (หน่วยสอดแนม) หน่วยทะลวงคลื่น (หน่วยจู่โจม) และหน่วยพิทักษ์คลื่น (หน่วยป้องกัน),มิดไนท์เรนเจอร์คือกองทหารภายใต้กระทรวงการสงครามของจินโจว มีนายพล Jiyan เป็นผู้บัญชาการ แบ่งออกเป็น 3 กอง ได้แก่ เอาท์ไรเดอร์ (หน่วยสอดแนม) หน่วยทะลวงคลื่น (หน่วยจู่โจม) และหน่วยพิทักษ์คลื่น (หน่วยป้องกัน)
850087,เจ้าหน้าที่ลาดตระเวน,เจ้าหน้าที่สำนักความมั่นคงที่มีหน้าที่จัดการปัญหาด้านการรักษาความปลอดภัยในเขตอำนาจของตัวเอง,เจ้าหน้าที่สำนักความมั่นคงที่มีหน้าที่จัดการปัญหาด้านการรักษาความปลอดภัยในเขตอำนาจของตัวเอง
850088,สำนักความมั่นคง,"ฝ่ายบังคับใช้กฎหมายในท้องถิ่นของคณะตุลาการ ดำเนินงานผ่านสถานีลาดตระเวนเพื่อรักษากฎหมายและจัดการปัญหาด้านความมั่นคงสาธารณะ เจ้าหน้าที่ของสำนักงานนี้เรียกว่า ""เจ้าหน้าที่ลาดตระเวน""","ฝ่ายบังคับใช้กฎหมายในท้องถิ่นของคณะตุลาการ ดำเนินงานผ่านสถานีลาดตระเวนเพื่อรักษากฎหมายและจัดการปัญหาด้านความมั่นคงสาธารณะ เจ้าหน้าที่ของสำนักงานนี้เรียกว่า ""เจ้าหน้าที่ลาดตระเวน"""
850089,สถานีลาดตระเวน,หน่วยบังคับใช้กฎหมายในท้องถิ่นของสำนักความมั่นคงที่ดูแลการปฏิบัติงานด้านการรักษาความปลอดภัยทั่วไปและรักษาความสงบเรียบร้อยในสังคม,หน่วยบังคับใช้กฎหมายในท้องถิ่นของสำนักความมั่นคงที่ดูแลการปฏิบัติงานด้านการรักษาความปลอดภัยทั่วไปและรักษาความสงบเรียบร้อยในสังคม
850090,ลอลโล่โลจิสติกส์,"ลอลโล่โลจิสติกส์คือบริษัทโลจิสติกส์ที่ได้รับความเชื่อถือ ให้บริการจัดส่งทั้งสิ่งที่จับต้องได้และจับต้องไม่ได้
ไม่ว่าจะเป็นการส่งคำหวานให้ผู้เป็นที่รักหรือเสาะหาความทรงจำที่หายไป ขอเพียงสั่งมาและเป็นสิ่งที่จัดส่งได้ ลอลโล่โลจิสติกส์จะทำให้ด้วยความใส่ใจ","ลอลโล่โลจิสติกส์คือบริษัทโลจิสติกส์ที่ได้รับความเชื่อถือ ให้บริการจัดส่งทั้งสิ่งที่จับต้องได้และจับต้องไม่ได้
ไม่ว่าจะเป็นการส่งคำหวานให้ผู้เป็นที่รักหรือเสาะหาความทรงจำที่หายไป ขอเพียงสั่งมาและเป็นสิ่งที่จัดส่งได้ ลอลโล่โลจิสติกส์จะทำให้ด้วยความใส่ใจ"
